index,id,country,genus,species,lat,lon,date,upper,lower
1669,StW_72,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1670,StW_73,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1671,StW_75-79,south_africa,homo,indet,-26.016,27.734,2.3,2.6,2.0
1672,StW_8,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1673,StW_85,south_africa,homo,indet,-26.016,27.734,2.18,2.39,1.97
1674,StW_86,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1675,StW_87,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1676,StW_88,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1677,StW_89,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1678,StW_9,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1679,StW_90,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1680,StW_91,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1681,StW_92a,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1682,StW_93,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1683,StW_95,south_africa,homo,indet,-26.016,27.734,2.34,2.61,2.07
1684,StW_96,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1685,StW_97,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1686,StW_98,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1687,StW_99a_100,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1688,StW_99b,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1689,StW_99c,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1690,TM_1511,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1691,TM_1512,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1692,TM_1513,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1693,TM_1514,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1694,TM_1515,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
